AccessType;Building Access Type;TEXT;CODED
AnnotationType;Annotated Space Type;TEXT;CODED
Boolean;Boolean;SHORT;CODED
BuildingInteriorSpaceType;Interior Space Type;TEXT;CODED
BuildingInteriorStructureType;Interior Structure Type;TEXT;CODED
BuildingRoofForm;Roof Form;TEXT;CODED
BuildingUsage;Building Usage;TEXT;CODED
BuildingType;Building Type;TEXT;CODED
ConstructionStatus;Construction Status;TEXT;CODED
InteriorInstallationType;Interior Installation Type;TEXT;CODED
LandCoverType;Land Cover Type;TEXT;CODED
ParcelType;Parcel Type;TEXT;CODED
PlanType;Zoning or Land Use Plan Type;TEXT;CODED
SensorType;Sensor Observation Type;TEXT;CODED
ShellPartType;Shell Part Type;TEXT;CODED
StreetFurnitureType;Street Furniture Type;TEXT;CODED
TreeCanopyShape;Canopy Shape Type;TEXT;CODED
TreeGenusType;Tree Genus Type;TEXT;CODED
TreeSpeciesType;Tree Species Type;TEXT;CODED
ZoningType;Zoning Type;TEXT;CODED
CityFabricRelationType;City Fabric Relation Type;TEXT;CODED
FlowDirection;Flow Direction;TEXT;CODED
RegulationOperator;Zoning Regulation Operator;TEXT;CODED
RegulationAspect;Zoning Regulation Aspect;TEXT;CODED
