sourceZone;aspect;operator;value;unit;usage
CM;totalHeight;max;100;intl_ft;Office
CM;FrontSetback;min;8;intl_ft;Office
CM;RearSetback;min;8;intl_ft;Office
CM;LeftSetback;min;8;intl_ft;Office
CM;SiteCoverage;max;1;;Office
CM;FloorAreaRatio;max;1;;Office
CS;totalHeight;max;100;intl_ft;Office
CS;FrontSetback;min;5;intl_ft;Office
CS;RearSetback;min;5;intl_ft;Office
CS;LeftSetback;min;5;intl_ft;Office
CS;SiteCoverage;max;1;;Office
CS;FloorAreaRatio;max;2;;Office
CX;totalHeight;max;150;intl_ft;Office
CX;FrontSetback;min;0;intl_ft;Office
CX;RearSetback;min;0;intl_ft;Office
CX;LeftSetback;min;0;intl_ft;Office
CX;SiteCoverage;max;1;;Office
CX;FloorAreaRatio;max;4;;Office
